city,company,date,detail,function,industry,job,level,state,title,type
hillsboro,aston carter,2022-06-17,data entry specialist needed credit union hillsboro job description process fund approved financing requests alignment service level agreements meeting production quality metrics address respond high volume intake channel varied loan inputs inbox administer follow quality review prescribed section loan signings handle vendor member inquiries research resolve issues appropriate meet daily production goals established processor positions collaborate loan fulfillment associates loan processing skills data entry microsoft office automotive industry additional skills qualifications education high school diploma equivalent minimum two years experience customer service financial services experience preferred ability work autonomously manage time effectively prioritize work appropriately meet deadlines high volume production environment strong analytical problem solving skills ability apply sound independent judgement organize track trend financial related data ability communicate clearly verbal written levels within organization excellent listening skills ability ask probing questions determine member needs overcome objections proven skills commitment meeting exceeding member vendor expectations requirements knowledge lending practices industry standard processes including bank secrecy act regulations familiarity regulatory policies procedures including scra truth lending reg b fcra mla preferred strong knowledge microsoft office suite experience level intermediate level information please contact maggie 5034034332 mklausastoncartercom aston carter aston carter dedicated expanding career opportunities skilled professionals power business success driven talented motivated people join team across range positions recruiting sales delivery corporate roles part team employees opportunity longterm career success hard work rewarded potential growth limitless established 1997 aston carter leading staffing consulting firm providing highcaliber talent premium services 7000 companies across north america spanning four continents 200 offices extend clients capabilities seeking solvers delivering solutions address today workforce challenges organizations looking innovative solutions shaped criticalthinking professionals visit astoncartercomastoncartercom aston carter company within allegis group global leader talent solutions company equal opportunity employer consider applications without regards race sex age color religion national origin veteran status disability sexual orientation gender identity genetic information characteristic protected law would like request reasonable accommodation modification adjustment job application process interviewing process due disability please call 8882376835 email astoncarteraccommodationastoncartercommailto20astoncarteraccommodationastoncartercom accommodation options however questions position please contact recruiter located bottom job posting recruiter sole point contact questions position ,administrative,staffing and recruiting,data specialist,entry level, or,data entry specialist ( consumer loans ),contract
mansfield,aston carter,2022-06-17,description research property records 40 role cold calling apartmentbuilding complexes see could pike come onsite access servers research city tax brackets configuring plot lines determine ownership properties heavy data entry skills microsoft office suite administration customer service oriented data management property lines research analytical skills top skills details microsoft office suiteadministrationcustomer service orienteddata management additional skills qualifications ms office excel abilities demonstrated ability work independently follow assignments high energy level ability work fast paced ambiguous environment excellent organizational planning skills high commitment achieving goals plans able manage multiple tasks provide leadership team members selfmotivated experience level entry level aston carter aston carter dedicated expanding career opportunities skilled professionals power business success driven talented motivated people join team across range positions recruiting sales delivery corporate roles part team employees opportunity longterm career success hard work rewarded potential growth limitless established 1997 aston carter leading staffing consulting firm providing highcaliber talent premium services 7000 companies across north america spanning four continents 200 offices extend clients capabilities seeking solvers delivering solutions address today workforce challenges organizations looking innovative solutions shaped criticalthinking professionals visit astoncartercomastoncartercom aston carter company within allegis group global leader talent solutions company equal opportunity employer consider applications without regards race sex age color religion national origin veteran status disability sexual orientation gender identity genetic information characteristic protected law would like request reasonable accommodation modification adjustment job application process interviewing process due disability please call 8882376835 email astoncarteraccommodationastoncartercommailto20astoncarteraccommodationastoncartercom accommodation options however questions position please contact recruiter located bottom job posting recruiter sole point contact questions position ,administrative,staffing and recruiting,data specialist,entry level, ma,data entry specialist,full-time
arlington,summit2sea consulting,2022-06-11,have looking shift career high gear opportunity take ambitions convert solid career supportive innovative environment summit2sea looking data scientist summit2sea technology consulting firm run hands technologists combines people process technology deliver innovative solutions clients named washington posts list top work places past 2 years invest biggest asset people part winning team contribute career growth impactful work youll support data collection ingestion validation loading optimized data appropriate data stores work team made analysts developers data scientists product lead identify implement solutions data requirements including building pipelines collect data disparate external sources implementing rules validate expected data received cleansed transformed massaged optimized output format data store perform validation analytics support client requirements evolves solutions automation optimizing performance minimal human involvement monitor pipeline status performance troubleshoots issues working improvements ensure solution best version address customer need focus specifically development maintenance scalable data stores supply big data forms needed business analysis apply advanced consulting skills extensive technical expertise full industry knowledge develop innovative solutions complex problems position requires working onsite 35 days week requirements must ability represent uphold core values integrity client service expertise adaptability communication teamwork solid background developing solutions high volume low latency applications operate fast paced highly collaborative environment distributed computer understanding experience sql spark etl appreciates opportunity independent creative challenged curious mind passionate solving problems quickly bringing innovative ideas table able work without considerable direction may mentor supervise team members experience programming languages including python c java r knowledge software development life cycle testing version control experience working structured unstructured andor semistructured data conducting analysis experience data wrangling techniques cleanse data data science applications experience building statistical models developing machine learning algorithms including supervised unsupervised reinforcement experience designing executing machine learning models applications ability quickly learn new skillsets solve challenging problems ability obtain secret clearance nice experience working agile development environment experience distributed programming languages spark scala etc experience data orchestration tools airflow experience data engineering data science tools databricks elasticsearch apache nifi streamsets etc experience business intelligence tools tableau qlik experience data lakes data warehouses andor data lake houses experience cloud services aws azure google cloud experience enterprise dataops devsecops mlops processes operationalize monitor data science models experience agile development experience cicd including git jenkins docker possession excellent verbal written communication skills benefits upper tier compensation includes base salary bonuses based upon performance business development employee referrals knowledge sharing value individual share companys success across team summit2sea committed offering employees benefits package competitive comprehensive enough meet goals needs valued member s2s team employees provided collection benefits include paid holidays health dental care name compensation components competitive base salary quarterly recruiting bonus new sales bonus knowledge contribution bonus benefit components paid holidays vacationsick leavepersonal time health insurance dental insurance life insurance 401k summit2sea consulting equal opportunity employer eoe everify employer qualified applicants considered employment without regard age race color religion sex national origin sexual orientation disability veteran status need assistance accommodation application process disability available upon request company pleased provide assistance applicant penalized result request ,analyst,it services and it consulting,data scientist,associate, va,data scientist,full-time
chicago,grubhub,2022-06-10,about opportunity connecting hungry diners network 300000 restaurants nationwide innovative technology userfriendly platforms streamlined delivery capabilities set us apart make us industry leader world online food ordering join team become part community works together innovate solve problems grow work hard ton fun process work us grubhub place authentically fun culture meets innovation teamwork believe empowering people opening doors new opportunities looking place values strong relationships embraces diverse ideas fun together grubhub place role grubhub looking data scientist focus statistics role help analyze build deploy models predicting aspects delivery business related courier fleet working data scientists help company improve delivery experience hot food faster diners less problems addition running analyses better understand courier ecosystem specific responsibilities include limited data analysis problem solving development machine learning models deployment maintenance models impact make understand business work directly stakeholders address needs build models researching new algorithms selecting features optimizing performance stakeholder models turn research models deployed products improve courier ecosystem question assumptions find new better ways produce novel analysis giving insights business specifically courier fleet deliveries make contribute culture learning regular collaboration data science teams across company grubhub believes empowering people offering opportunities personal development professional growth value strong positive relationships areas customers greater community examples kind work might us explain put value diners couriers restaurants threesided marketplace design model detect location spoofing fake couriers accounts build metrics describe whether region currently staffed bring table msc phd economics statistics mathematics another quantitative field 25 years experience quantitative analysis econometrics statistical modeling solid grasp statistical techniques eg regression models significance testing power calculations causal inference etc advanced training statistics economics preferred experience applying descriptive statistics visualization solve realworld problems good ability communicate analytical findings people diverse backgrounds using statistical libraries visualization tools good programming skills python including working knowledge scientific python stack data querying capabilities using sql ability explain technical concepts simple terms business stakeholders got even better experience market design experience behavioral economics experience time series forecasting including classical approaches like arma based models also modern ones involving deep learning experience deploying models production environment experience distributed data computing tools like spark dask hive presto proficiency using version control systems github multideveloper teams course perks flexible ptopto grubhub employees enjoy generous amount time recharge health wellness excellent medical benefits employee network groups paid parental leave programs support overall wellbeing competitive pay receive competitive base salary eligibility generous incentives bonuses commission rsus rolespecific learning career growth personal professional development priority grubhub empower leader grow career training coaching mentorship opportunities mealperks get meals us employees get weekly grubhub credit enjoy support local restaurants fun every grubhub office employeeled culture crew connects people fun meaningful events initiatives like wellness wednesdays slack competitions virtual happy hours social impact grubhub believe giving back programs like grubhub community relief fund donating 1 million equal justice initiative 2020 employees also given paid time year support causes important vaccination requirement grubhub employees required fully vaccinated candidates must confirm vaccination status time hire must provide proof fullcovid19 vaccination within 2 weeks starting employment fully vaccinated defined 2 weeks passed since second dose 2dose series pfizer moderna vaccines 2 weeks singledose vaccine johnson johnson vaccine grubhub equal opportunity employer welcome diversity encourage workplace diverse customers serve evaluate qualified applicants without regard race color religion age sex sexual orientation gender identity national origin disability veteran status legally protected characteristics applying job us need reasonable accommodation part employment process please send email talentacquisitiongrubhubcom let us know nature request contact information please note inquiries concerning request reasonable accommodation responded email address ,management and engineering,"technology, information and internet",data scientist,mid-senior level, il,sr data scientist,full-time
charlotte,bank of america,2022-06-17,job description job description responsibilities additional information bank america day brings innovation opportunity dedicated turning technology advances treasury solutions clients globally across segments industries looking highly motivated selfstarters advocate clients providing liquidity management payments receipts trade supply chain finance fx commercial card services complementing high tech personalized touch challenge status quo influence peers diverse points view forward thinkers ability see whats next treasury management future treasury management bank america powered people driven technology develop comprehensive mapping uses data data requirements developer road maps perform gap analysis understand gaps data needed analytics design long term solution close coordinate stakeholders collect requirements conduct analysis data work tech team prioritization develop maintain comprehensive documentation analysis processes job requirements required skills must skills minimally qualified inclusive inspiring seeking motivating team players value collaboration celebrating shared success actively seek appreciate diverse thoughts backgrounds authentic passionate seeking highly engaged teammates whose intensity intentions align enthusiastic work clients communities innovative curious seeking teammates outofthe box ideas solutions embrace change futureforward mindset looking challenge status quo confident agile seeking strong communicators value giving receiving feedback easily build relationships quick thinking flexible always learning sharing knowledge experience working highly complex regulated data environment large organizational set 3 years experience data analysis working stakeholders ability work technical nontechnical business partners ability translate business data needs technical terms working knowledge data warehousing etl processes familiarity banking transaction data babs required desired skills experience banking industry preferable understanding banking business banking transactions flow data would plus ,information technology,credit intermediation,data analyst,entry level, nc,data analyst,full-time
dallas,costco wholesale,2022-06-08,data engineer data analytics issaquah wa dallas tx environment unlike anything hightech world secret costco success culture value costco puts employees well documented articles variety publishers including bloomberg forbes employees members come first costco well known generosity community service many awards philanthropy company joins employees take active role volunteering sponsoring many opportunities help others 2018 costco contributed 39 million organizations united way childrens miracle network hospitals costco responsible technical future costco wholesale second largest retailer world wholesale operations twelve countries despite size explosive international expansion continue provide family employee centric atmosphere employees thrive succeed proof costco consistently ranks top five forbes america best employers data engineer data analytics responsible end end data pipelines power analytics data services costco mission significantly leverage data provide better products services members role focused data engineering build deliver automated data pipelines plethora internal external data sources data engineer partner product owners engineering data platform teams design build test automate data pipelines relied upon across company single source truth want part one best work companies world simply apply let career reimagined role develops operationalizes data pipelines make data available consumption bi advanced analytics services works tandem data architects databi engineers design data pipelines recommends ongoing optimization data storage data ingestion data quality orchestration designs develops implements etlelt processes using iics informatica cloud uses azure services azure sql dw synapse adls azure event hub azure data factory improve speed delivery data products services implements big data nosql solutions developing scalable data processing platforms drive highvalue insights organization identifies designs implements internal process improvements automating manual processes optimizing data delivery identifies ways improve data reliability efficiency quality data management communicates technical concepts nontechnical audiences written verbal form performs peer reviews data engineer work required 5 years experience engineering operationalizing data pipelines large complex datasets 5 years handson experience informatica powercenter 2 years handson experience informatica iics 3 years experience working cloud technologies adls azure databricks spark azure synapse cosmos db big data technologies 5 years experience data modeling etl data warehousing extensive experience working various data sources sqloracle database flat files csv delimited web api xml advanced sql skills required solid understanding relational databases business data ability write complex sql queries variety data sources strong understanding database storage concepts data lake relational databases nosql graph data warehousing able work fastpaced agile development environment recommended azure certifications experience implementing data integration techniques event message based integration kafka azure event hub etl experience git azure devops babs computer science engineering equivalent softwareservices experience experience delivering data solutions agile software development methodologies exposure retail industry excellent verbal written communication skills successful internal candidates spent one year current team experience working sap integration tools including bods experience uc4 job scheduler required documents cover letter resume california applicants please click review costco applicant privacy notice apart religious disability considerations open availability needed meet needs business hired required provide proof authorization work united states ,information technology and other,retail,data engineer,mid-senior level, tx,data engineer data analytics,full-time
seattle,amazon,2022-06-08,job summary description interested leveraging latest aws technologies atscale support cuttingedge machine learning someone likes using big data drive highimpact business decisions enjoy building data applications impact 100s millions customers answer yes join team prime machine learning economics team core science team within amazon prime build recommendation systems simulation technology insightdriving data science ensure prime remains one world loved membership programs part data engineering team continually reinvent data pipeline engineering infrastructure systems form backbone prediction causal inference technology data engineer team collaborate closely prime business leaders scientists economists research scientists applied scientists engineering leaders build data solutions leverage aws technologies emr ec2 s3 glue kms lambda dynamodb etc build novel systems tackle challenges scale manipulate process tbsized data supporting realtime access orchestration across multiple systems work enhance scientific models data applications consequence global impact improving customer experiences prime members worldwide successful candidate successfully interact technical business stakeholders team unique two reasons first broad mandate model customer behavior given reach prime membership program millions members worldwide mandate leads us build models data infrastructure interact benefit teams ie prime video groceries marketplace teams eg eu india japan second build cuttingedge customerlevel simulations using variety statistical tools mleconometricscausal inference supporting simulation technology atscale realtime creates interesting new data engineering challenges give person role head start solving artificial intelligence challenges ubiquitous 35 years key job responsibilities design build maintain world class data pipelines supporting prime sciences ww expected work closely scientists business stakeholders identify needs data consume transform vend customers work ensure quality data infrastructure maintained using operational engineering best practices team prime sciences tech responsible building platform accelerate adoption science customer optimization strategic decisions systems across prime amazon successful candidate passion innovation excellence constant desire learn cuttingedge technology science excitement working multidisciplinary environment highimpact business domain come build us basic qualifications 3 years experience data engineer similar role experience data modeling data warehousing building etl pipelines experience sql preferred qualifications ms technical business field 4 years progressively responsible work experience pysparkscalaspark python shell scripting bash zsh etc git experience building large scale distributed data pipelines ability take project scoping requirements actual launch project experience aws technologies including emr spark s3 etc ability deal well ambiguity strong sense ownership urgency drive demonstrated ability drive operational excellence best practices excellence technical communication peers partners nontechnical cohorts amazon committed diverse inclusive workplace amazon equal opportunity employer discriminate basis race national origin gender gender identity sexual orientation protected veteran status disability age legally protected status individuals disabilities would like request accommodation please visit httpswwamazonjobsendisabilityus company amazoncom services llc job id a2094544 ,"strategy/planning, analyst, and information technology","it services and it consulting, software development, and technology, information and internet",data engineer,not applicable, wa,"data engineer, prime sciences",full-time
los angeles,google,2022-06-03,this role may also located playa vista ca campus note applying position opportunity share preferred working location following chicago il usa atlanta ga usa los angeles ca usa minimum qualifications bachelors degree computer science engineering finance equivalent practical experience 4 years experience data engineering implementations eg data architecture data processing pipelines data validation monitoring experience structured query language eg sql working python objectoriented programming preferred qualifications experience working teams committing code working version control experience driving operational process improvement knowledge machine learning including related tasks data preparation choice model performance metrics model evaluation parameter tuning managing variancebias tradeoffs exceptional customer service tactful communication skills verbal written professional influential presence passion developing analyzing large complex data sets converting informationinsights drive business plans levels organization job google accountants savvy bunch handle core accounting responsibilities google know accounting principles full accounting process end end youll advise financial reports required governmental regulations review analyze interpret financial budgetary reports every day new challenge youre continually looking ways help team become efficient effective team player heart collaborate global team advocate best practices pitch needed move fast keeping attention detail tap problemsolving skills support business objectives revenue reporting data engineer focused understanding business systems code base manage team migration new sap subledeger well implementing opportunities optimize reporting data infrastructure partner finance systems teams understand business requirements collaborate corporate engineering stakeholders ensure accounting reporting processes migrated flawlessly new sap environment also work closely teams engineering tax compliance statutory reporting manage financial risk develop scalable automations name google came googol mathematical term number 1 followed 100 zeros nobody google loves big numbers like finance team providing depth analysis manner strategic decisions across google products developing forwardthinking analysis generating management reports scaling automated financial processes finance organization important partner advisor business responsibilities work crossfunctional departments including accounting tax legal external reporting engineering develop business requirements maintain enhance current data pipelines systems new enterprise resource planning erp environment evaluate data gathered multiple sources identify gaps reconcile conflicts decompose highlevel information details drive selectionmaking architect innovative data solutions automate scale business reporting utilize sql coding provide financial data internal external financial reporting partner internal teams define implement data solutions improve accounting reporting processes maintain highest levels development practices including technical design solution development systems configuration test documentationexecution issue identification resolution writing clean modular selfsustaining code google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicants regardless criminal histories consistent legal requirements see also googles eeo policy eeo law disability special need requires accommodation please let us know completing accommodations applicants form ,"finance, analyst, and accounting/auditing","information services and technology, information and internet",data engineer,not applicable, ca,revenue reporting data engineer,full-time
north star,synergisticit,2022-06-17,about us synergistic fullservice staffing placement firm servicing client america past 12 years dedicated towards fulfilling needs clients staffing full implementation projects provide highest quality services intend deliver exceptional student outcome dont help secure tech job build solid career technology job description managing master data including creation updates deletion managing users user roles assessing tests implementing new upgraded software assisting strategic decisions new systems generating reports single multiple systems troubleshooting reporting database environment reports evaluating changes updates source production systems training endusers new reports dashboards providing technical expertise data storage structures data mining data cleansing skill required data visualization data cleaning matlab r python sql nosql machine learning linear algebra calculus education requirement bachelors masters computer science computer engineering information systemsinformation technology electrical engineering mechanical engineering benefits job technical support e verified filing h1b green card full time position candidate missing required skills might provided option enhance skills also apply role make career industry respond via email please include daytime phone number reach considering candidates time essence please respond asap thank ,information technology,it services and it consulting,data analyst,entry level, mi,entry level data analyst,full-time
las vegas,wedgewood llc,2022-06-17,wedgewood homes awardwinning real estate group operates 22 states 800 cities across united states believes value home importance providing homeownership opportunities wedgewood homes acquisition renovation resale model utilize local vendors services community real estate professionals nearly four decades experience revitalize neighborhoods one home time employing sustainable strategic design approach wedgewood homes specializes restoring homes placing back market providing new homeownership opportunities thousands wedgewood parent company wedgewood homes business since 1985 apply wedgewood offers team members competitive compensation 401k traditional benefits like medical dental vision also many additional perks invest us wedgewood inhouse investment programs get participate growth profitability company inhouse investment programs student loan paydown wedgewood recognizes importance quality education partnered gradifi assist student loans make difference great place contribute community volunteer service sustainable initiatives charitable giving work local universities wedgewood provides opportunities throughout year employees give back community greater good work hard play hard expect get invited various company sponsored events throughout course year past events included sporting events happy hour parking lot bbqs bowling bocce ball tournaments office theme parties role junior data specialist work acquisitions department support team purchases foreclosure market real estate role requires prioritizing tasks high attention detail proactive managing workload youll tracking foreclosure sales cross check internal databases trustee websites consistently updates results auctions catching correcting data errors system record data entry reviewing various data sources manually entering data system assist tracking recording purchase deeds multiple states interact trustee clerk sheriff attorney offices follow details status ownership documents coordinating timely receipt downloading reviewing legal documents deeds trustee deeds receipts policies etc assure information document accurate enter paperwork electronic system either data entry using optical scanners maintain efficient electronic filing system updating storing documents assist developing maintain efficient tracking system ensure timely receipt retrieval storage legal documents deeds trustee deeds etc assure received timely regards specific state laws create update records new files information projects assigned youll need degree business related field preferred 3 years real estate experience experience data entry ability maintain composure stressful situations excellent verbal written communication skills excellent time management skills ability multitask detail oriented organized good attendance ability work well others ability work independently selfdirected ability problem solve prioritize experience microsoft office wedgewood occupies 50000 square feet state art headquarters redondo beach california named company year city wedgewood additional office locations las vegas dallas along smaller offices throughout country wedgewood equal opportunity employer welcomes applications suitably qualified persons regardless race sex disability religionbelief sexual orientation age apply today let start future wedgewood ,information technology,"banking, financial services, and real estate",data specialist,entry level, nv,junior data specialist,full-time
seattle,stripe,2022-06-09,who stripe stripe financial infrastructure platform businesses millions companies world largest enterprises ambitious startups use stripe accept payments grow revenue accelerate new business opportunities mission increase gdp internet staggering amount work ahead means unprecedented opportunity put global economy within everyone reach important work career youll role opportunity rethink sales forecasting pipeline evaluate implement time series models forecast newest users growth create framework outlier detection case unusual growth patterns evaluate statistical methods communicate uncertainty forecasts also partner sales developing new compensation programs using forecasts available data finally work building attribution model credit sales leads specific incoming channels ie outbound inside sales marketing responsibilities work closely sales team identify important questions answer data apply statistical machine learning econometric models large datasets measure results outcomes ii identify causal impact attribution ii predict future performance users products design analyze interpret results experiments drive collection new data refinement existing data sources looking data scientists join data science team excited applying analytical skills understand users influence decision making naturally data curious excited deriving insights data motivated impact business want hear minimum requirements 5 years experience working analyzing large data sets solve problems phd ms quantitative field eg economics statistics engineering natural sciences expert knowledge scientific computing language r python sql strong knowledge statistics machine learning experimental design demonstrated track record identifying scoping leading complex data science projects crossfunctional partners high business impact ability communicate complex quantitative analysis clear precise actionable manner preferred qualifications experience working sales team prior experience datadistributed tools spark hadoop etc ,engineering and information technology,"software development, technology, information and internet, and financial services",data scientist,mid-senior level, wa,"data scientist, sales forecasting",full-time
pike creek,continental finance company,2022-06-06,this position sits wilmington delaware office tth week employees work remotely mf ideal candidates favorite words learning data scale agility leverage strong collaboration skills ability extract valuable insights highly complex data sets ask right questions find right answers responsibilities analyze raw data assessing quality cleansing structuring downstream processing design accurate scalable prediction algorithms collaborate engineering team bring analytical prototypes production generate actionable insights business improvements qualifications bachelors degree equivalent experience quantative field statistics mathematics computer science engineering etc least 1 2 years experience quantitative analytics data modeling deep understanding predictive modeling machinelearning clustering classification techniques algorithms fluency programming language python cc java sql familiarity big data frameworks visualization tools cassandra hadoop spark tableau ,None,None,data scientist,None, de,data scientist,full-time
san francisco,glassdoor,2022-06-08,why glassdoor mission help people everywhere find job company love process transforming workplace experience power transparency cementing worldwide leader employer branding insights choosing career glassdoor youll directly contributing toward vision world transparency empowers workforce motivates companies become better employers please note role may open remote hiring office locations san francisco ca chicago il uniontown oh london uk dublin ireland looking dedicated data engineer join growing data engineering team ideal candidate experience building scalable data pipelines enable decision making analytics data science data products must strong handson technical expertise big data technologies ability adapt emerging technologies fashion robust scalable solutions embrace wide variety technologies work closely data scientists business stakeholders deliver impactful end end solutions interested fast paced environment latest technologies fun data problems come join us compensation 11120000 16680000 glassdoor operating transparently heart everything thats let job seekers know salary ranges may differ jobs depending positions filled secret cost living economic considerations vary widely across country world glassdoor apply tier system promote consistency level compensation roles filled different locations tiers follows tier 1 encompasses highest salary range states large metropolitan areas located ie san francisco new york city washington dc etc tier 2 encompasses salary ranges 15 less tier 1 states midsized cities ie chicago dallas portland etc tier 3 encompasses salary ranges 20 less tier 1 states smaller cities including ohio office nevada etc learn compensation philosophy see salary ranges glassdoor jobs youll design develop big data applications using variety different technologies develop logical physical data models big data platforms automate workflows using apache airflow write data pipelines using apache hive apache spark apache kafka create data ingress solutions aws using various technologies techniques provide ongoing maintenance enhancements existing systems participate rotational oncall support learn business domain technology infrastructure quickly share knowledge freely proactively others team youll bring 1 years handson experience developing data warehouse solutions data products 6 months handson experience developing distributed data processing platform hadoop hive spark airflow kafka etc 1 years handson experience modeling designing schema data lakes rdbms platforms experience programming languages python java scala etc experience scripting languages perl shell etc practice working processing leading large data sets excellent verbal written communication skills bachelors degree computer science equivalent experience strong desire add culture diversity equity inclusion nice exposure test driven development automated testing frameworks background scrumagile development methodologies capable delivering multiple competing priorities little supervision experience working rest apis streaming apis data ingress techniques familiarity aws gcs technologies company values commitments transparency open honest share information good bad continuously learn collaborate make right decisions pay bands compensation philosophy employee feedback polls shared publicly innovation actively pursue new different ways glassdoors mission forge path challenging status quo ultimate goal change operate glassdoor every employer follow lead good people work together integrity respect compassion one another fun together inclusive fair humble remaining confident right thing period grit resilient inventive fearless see challenges opportunities passion courage come together get job done diversity equity inclusion dedicated building company diverse representative society large glassdoor externally publishes diversity inclusion report information employee population hold accountable dedication also provide programs resources build greater sense belonging employees glassdoor committed equal treatment opportunity aspects recruitment selection employment without regard race color religion national origin ethnicity age sex marital status physical mental disability gender identity sexual orientation veteran military status category protected law glassdoor equal opportunity employer committed creating community inclusion environment free discrimination harassment retaliation us ontario legally permitted glassdoor requires employees report workplace travel andor attend inperson meetings including client visits fully vaccinated covid19 positions performed glassdoor office candidates must fully vaccinated covid19 provide acceptable proof vaccination first day employment condition employment glassdoor consider requests reasonable accommodation required applicable law qualify fully vaccinated covid19 two weeks elapsed since receiving second dose government recommended booster shot twodose covid19 vaccine series since receiving single dose government recommended booster shot single dose covid19 vaccine ,information technology,"technology, information and internet",data engineer,entry level, ca,data engineer,full-time
vista,jobot,2022-06-15,this jobot job hosted samantha lima fit easy apply clicking apply button sending us resume salary 130000 per year bit us located beautiful oceanside ca worldwide leader comes performance exhaust emission systems design manufacture top line exhaust systems champion racers master builders much looking bring data engineer assist us development growth join us benefits medical dental vision life insurance paid time birthday hybrid schedule great environment job details job overview owns availability recoverability scalability security performance bi related azure sql server database verifies accuracy integrity data loaded bi solution identify opportunities data integrity improvements assist development maintenance scalable etl solutions prepare documentation training materials participate monthly lunch learn program job requirements 3 years exp bi data engineering data analysis data administration sql sql analysis azure power bi interested hearing easy apply clicking apply button ,information technology,it services and it consulting and software development,data engineer,mid-senior level, ca,remote data engineer,full-time
thousand oaks,amgen,2022-05-23,how might defy imagination earned degree use achievement reach goals knowledge worked hard acquire passion already amgen shared mission serve patients drives key becoming one world leading biotechnology companies reaching 10 million patients worldwide become professional meant meaningful role data engineer live let let change world vital role apply specialized knowledge understanding principles concepts standards moderately complex assignments follows responsibilities key team member assisting design development data pipelines collaborate data architects business sme data scientists design develop endtoend data pipeline meet fast paced business needs serve system admin manage aws databricks platform adhere best practices coding testing designing reusable codecomponent able explore new tools technologies help improve etl platform performance participate sprint planning meetings provide estimations technical implementation collaborate communicate effectively product teams win expect different yet use unique contributions serve patients engineer professional seek assertive qualifications basic qualifications master degree bachelor degree 2 years relevant experience associate degree 6 years relevant experience high school diploma ged 8 years relevant experience preferred qualifications experience software development java python preferred endtoend system design experience data modeling olap oltp databases handson experience sql preferred oracle postgresql hive sql ability learn quickly organized detail oriented experience software devops cicd tools git jenkins experience aws familiar ec2 s3 redshiftspectrum glue athena rds lambda api gateway experience apache airflow apache spark experience working team data scientist business experts software engineers deliver insights solutions thrive vast rewards working work develop treatments take care others also work care teammates professional personal growth wellbeing full support careerdevelopment resources expand skills enhance expertise maximize potential along career journey diverse inclusive community belonging teammates empowered bring ideas table act generous total rewards plan comprising health finance wealth worklife balance career benefits compensation benefits rated 4 stars 5 glassdoor apply career defies imagination objects future closer appear join us join us youre seeking career truly make difference lives others career work absolute forefront biotechnology top minds field youll find amgen amgen biotechnology pioneer discovers develops delivers innovative human therapeutics medicines helped millions patients fight cancer kidney disease rheumatoid arthritis serious illnesses organization dedicated improving quality life people around world amgen fosters inclusive environment diverse ethical committed highly accomplished people respect compete intensely win together live amgen values continue advancing science serve patients amgen equal opportunity employer consider qualified applicants employment without regard race color religion sex sexual orientation gender identity national origin protected veteran status disability status ensure individuals disabilities provided reasonable accommodation participate job application interview process perform essential job functions receive benefits privileges employment please contact us request accommodation amgen requires staff united states puerto rico canada vaccinated covid 19 condition employment accordance applicable law amgen provide reasonable accommodations staff members qualify basis medical reason sincerely held religious belief practice observance accommodation may pose undue hardship amgen operations staff ,information technology,biotechnology research and pharmaceutical manufacturing,data engineer,not applicable, ca,data engineer,full-time
